,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
214958,Deloitte,2021-03-31, Manager,"Current Employee, more than 5 years","Arlington, VA",4,3.0,3.0,2.0,4.0,5.0,3.0,v,v,v,"Good early career accelerator, but no home for long-term passion","Strong compensation; Generally good flexibility; ""Choose-your-own-adventure"" career structure",Up-or-out culture; Sales and networking prioritized over expertise
278582,Goldman-Sachs,2013-12-24, Software Engineer,"Current Employee, less than 1 year",Bangalore,3,3.0,3.0,,3.0,3.0,3.0,v,v,r,ok ok. both good and bad work,great company.medium pay and benefits.,not for hard core techies
506749,McDonald-s,2014-06-04, ,Former Employee,,1,2.0,2.0,,2.0,1.0,2.0,x,o,o,terrible,the hours are okay .,the pay was way below the work given
481496,LinkedIn,2021-01-18, Software Engineer,Current Employee,"Sunnyvale, CA",4,,,,,,,o,o,o,Decent,free food and high pay,management can get political and lots of work
682071,PwC,2017-10-11, Lawyer,"Current Employee, more than 3 years",Sydney,4,5.0,4.0,,5.0,3.0,5.0,v,r,v,Lawyer,"Flexible working, goods hours, great leadership",Salary could definitely be higher
231942,Dynatrace,2020-04-07, Software Consultant,"Current Employee, more than 3 years","Austin, TX",5,,,,,,,o,o,o,Great place to work,"Great work/life balance.
Competitive sallary 
Great benefits",No cons so far with Dynatrace
403044,Immediate-Media-Company,2021-02-28, Art Director,"Current Employee, more than 1 year","London, England, England",5,5.0,5.0,2.0,4.0,3.0,4.0,v,v,r,"The best publishing company, bar none","Open, honest, a real sense of community and care at its heart. I LOVE working here.",Honestly: none spring to mind. I guess diversity is the big issue but we are seeing the beginnings of effective action here.
625731,Oracle,2016-05-24, Senior Systems Administrator Cloud Computing,Current Employee,"Redwood City, CA",4,4.0,4.0,,3.0,3.0,2.0,v,x,x,Senior system administrator Cloud Computing,"Good company . Pros is depend upon You, your manager and Project .",Such big companies are mostly good . it just depend upon on your Manager and project
371696,IBM,2017-10-19, Anonymous Employee,"Former Employee, more than 10 years","Research Triangle Park, NC",3,2.0,3.0,,3.0,3.0,2.0,o,o,o,Finance/Accounting,The friends you make there last a lifetime.  Working from home ability.,"Constantly going through ""downsizing"" and never knowing whether you will have a job or not.  Also there is a lot of bureaucratic tape to go through for anything.   Them taking away the ability to work from home!"
804759,University-of-Michigan,2020-06-10, Gsi,"Current Employee, less than 1 year",,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,good oppotunity,"great working environment with nice faculties, and good chance to practice and learn a lot",workload varies and depends on students
257208,EY,2020-08-08, Manager ,"Former Employee, more than 1 year",Lagos,5,3.0,5.0,,5.0,4.0,4.0,v,v,v,Great place to work,"Transparency from management
Staff are valued and properly trained
Competitive pay
Great work culture",Brand strength in region can be stronger
151030,Citi,2020-09-12, Assistant Manager II,Current Employee,,3,3.0,3.0,,3.0,3.0,2.0,o,o,o,An okay place to work,Job Security is there mostly,SLow growth in the organization
629278,Oracle,2017-04-21, Anonymous Employee,Current Employee,"Austin, TX",4,3.0,4.0,,4.0,3.0,2.0,v,r,v,Sales Executive,Payments on time.  I had a great boss.,Huge organization.  Caps on commissions.
184259,Deloitte,2016-08-23, Anonymous Employee,Current Employee,,5,5.0,5.0,,4.0,4.0,4.0,v,o,o,Company Review,"Flexible, considerate of well-being, and innovative",Difficult at times to make the right connections for career advancement.
722958,SAP,2019-06-17, Human Resources Consultant,"Current Employee, more than 3 years","Manila, Manila, Manila",5,5.0,4.0,,4.0,5.0,4.0,v,o,v,Thumbs up! So far so good!,Great benefits.  Well compensated. Good incentives.,Christmas parties and company outings are kinda cheap. ;(
187040,Deloitte,2017-04-10, ANDHRA PRADESH,"Current Employee, more than 1 year",Hyderābād,4,4.0,4.0,,3.0,4.0,2.0,v,v,o,Good company,"Good working environment, wfh option",Manager do partiality in the time of promotion
469665,KPMG,2021-05-02, Tax Associate,Current Employee,,2,,,,,,,o,o,o,No work life balance,Benefits and salary is good compared to small companies,No work life balance. Very poor management.
542380,McDonald-s,2021-01-07, Cashier,Former Employee,,5,,,,,,,o,o,o,Working at MDs was pretty cool.,Everything was a positive here.,There weren't any negatives I can think of.
539426,McDonald-s,2020-11-03, Cashier,"Current Employee, more than 1 year","South Bend, IN",5,4.0,4.0,4.0,4.0,4.0,4.0,o,o,o,cashier,"polite, nice, cute and loving",not really some bad about it
586447,Microsoft,2021-01-20, Software Engineer,"Current Employee, less than 1 year",,3,,,,,,,x,v,v,bad experince,"good environment, great office , office","bad salary, low salary, very"
354700,IBM,2015-03-29, ,Former Employee,,3,5.0,4.0,,3.0,3.0,4.0,v,v,x,Great brand. Straightforward.,Business culture is that you state what you want. No games or lies. People respond to emails and phone calls. Goal oriented.,"Monolithic. Either you fit it's needs or you don't. Skills obtained may be too specialized to be recognizable elsewhere. For example they've called network computing the ""cloud"" for at least 20 years and have managed all vendors of goods and services to support it. Most businesses are new to the term so noone could appreciate your working with it."
246070,EY,2017-09-07, Assurance Associate (Staff),"Current Employee, less than 1 year","Gurgaon, Haryana, Haryana",3,3.0,4.0,,4.0,2.0,3.0,v,v,v,Low Salary,Good working environment. They also have a TT table and Carrom Board in cafeteria. Cab service is provided for a reasonable deduction from your salary.,Salary is definitely not a motivating factor.  This is the only negative thing I have come across.
616667,Oracle,2011-08-22, Member Technical Staff,Current Employee,Hyderābād,4,5.0,,,4.0,2.0,4.0,v,o,o,Developer for a telecom product,"* Stress free work
* Technical expertise of team","* Focal cycle is unpredictable
* New joinee in your team will get much higher pay than a current employee.
* Market correction of salary is never done"
119643,British-Airways,2020-09-04, Cargo Agent,"Current Employee, more than 5 years","Heathrow, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Review of British airways,Good pay good benefits gym at work,There is no cons to this role
484747,Lloyds-Banking-Group,2021-02-25, Industrial Placement Risk Analyst,Current Employee,"London, England, England",3,,,,,,,o,o,o,Industrial Placement One Year Placement,Great experience at a large organisation like Lloyds,working from home during covid
673433,PwC,2014-10-15, Anonymous Employee,"Former Employee, more than 1 year","San Pablo, CA",4,3.0,4.0,,4.0,4.0,4.0,v,r,x,Working for a community hospital,Working at a non-profit community hospital was great because you have the chance to give back,Financial stability was always an issue.
61296,BDO,2021-03-23, Senior Auditor,"Former Employee, more than 3 years","London, England, England",3,3.0,2.0,3.0,4.0,3.0,2.0,v,r,v,Positive,"Good people, support, and variety of work",Poor communication from senior leadership
236939,EY,2014-05-27, Senior Staff Accountant,"Current Employee, more than 3 years",,3,1.0,2.0,,2.0,3.0,2.0,x,o,r,Great learning opportunities. Management have unrealistic expectations.,"Work with some good people, work is challenging.  Benefits are reasonable. Good learning opportunities.","Management does not communicate actual expectations, which are unrealistic.   Emphasis shifting on process and making money rather than client satisfaction.   The bonuses, if you get one, are low.  High turnover.  Very competitive."
837196,next,2021-01-22, Van Driver,"Former Employee, less than 1 year","Dartford, England, England",2,1.0,2.0,3.0,3.0,1.0,3.0,x,x,x,Poor wages and working culture,"Overtime available, some good managers","Minimum wages, only interestead in high profits while overstretching the staff numbers"
694628,PwC,2020-11-16, Tax Consultant,Former Employee,,4,4.0,5.0,5.0,3.0,3.0,2.0,o,o,o,Great place to work!,"Great work culture, good people, and good pay",Communication with senior management is a little difficult
578669,Microsoft,2017-10-26, ,Current Employee,,4,4.0,5.0,,3.0,5.0,4.0,v,v,v,Great company and great people,Good atmosphere and good people,It's Microsoft; bad decisions are made sometimes
314078,HSBC-Holdings,2017-06-24, Anonymous Employee,Former Employee,,4,1.0,3.0,,2.0,4.0,3.0,v,r,v,Vice President,"Nice colleagues, strong support, good staff benefits",hard to get promoted bcoz of keen competition
420500,J-P-Morgan,2017-08-08, Anonymous Employee,Former Employee,,4,3.0,4.0,,4.0,4.0,5.0,v,v,v,JP Morgan Finance,-Great learning opportunities at the firm,Wasnt a big fan of delaware
111467,Boots,2018-01-13, ,Current Employee,,3,,,,,,,v,r,r,Trainee Optical Consultant,"Nice coworkers,  good training depending where you work","No comission, customers often ungrateful"
255157,EY,2020-01-11, Manager,"Current Employee, more than 8 years","Washington, DC",3,2.0,3.0,,4.0,3.0,2.0,o,r,o,Intense workplace with good team spirit,Great team spirit that helps accept the high pressure,Constant travel and low flexibility
422610,J-P-Morgan,2018-06-21, Senior Process Analyst,"Former Employee, more than 8 years",Hyderābād,5,4.0,5.0,,4.0,5.0,5.0,v,v,v,Senior Process Analyst,"Best place to work, knowledge",Skills and knowledge and work experience
29919,Apple,2013-03-19, Genius Administrative,"Former Employee, more than 1 year","Madison, WI",5,5.0,4.0,,5.0,2.0,5.0,v,v,v,awesome,Favorite job ever. Loved the atmosphere and you were set up for success. Learned so much about sales and the field.,Pay is not great. Work is satisfying and you really can set your own pace. Love the amount of opportunities.
651369,Pearson,2017-03-20, Production Manager,"Former Employee, more than 5 years","Austin, TX",4,4.0,4.0,,4.0,4.0,4.0,v,r,r,Production Manager,"Great people,competitive salary, challenging work",Not a lot of work available for the industry.
779989,Thomson-Reuters,2017-02-14, Client Relationship Specialist,"Former Employee, more than 3 years","London, England, England",3,5.0,4.0,,2.0,3.0,1.0,x,x,x,Stuck in structural crisis,"Relaxed environment (maybe too relaxed), some people are very intelligent","Very difficult to grow at times, too much BS possible, sales is too much in focus"
630747,Oracle,2017-09-07, Anonymous Employee,Current Employee,,2,,,,,,,o,o,o,Sales Representative,Employee benefits are very good.,Painfully long process when getting mapped to your accounts (if transitioning from one product pillar to another).
653134,Pearson,2020-12-29, Territory Manager,"Former Employee, more than 3 years",Chennai,4,4.0,5.0,4.0,5.0,4.0,3.0,v,v,v,Great opportunity to grow 👍👍,"Great work place, work culture,",Not much to say about pearson
487412,Marks-and-Spencer,2017-09-30, Expert Bank Assistant,"Current Employee, less than 1 year","Oxford, England, England",5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Amazong company to work for,"Amazing team friends welcoming and hard working, the company offers great benefits as well as the Perks at work system which is great if you know how to use it and an amazing salary for the role / job I was doing within the company much better than what others are offering",the computers / systems are slow and need a little updating but nothing that isn't workable
261373,EY,2021-01-14, Senior Analyst,"Former Employee, more than 1 year",Milan,2,2.0,2.0,3.0,3.0,2.0,2.0,x,r,r,ok if you are a junior,you can learn a lot,hours at work are too long
149937,Citi,2020-01-09, Manager,"Former Employee, more than 1 year",Pune,2,2.0,3.0,,2.0,3.0,2.0,v,v,v,Manager,"Dynamic work style is observed
Management is Approachable",Compensation Pay disparity is observed at same levels
482519,Lloyds-Banking-Group,2016-04-11, Senior Project Manager,"Former Employee, more than 1 year","London, England, England",4,5.0,3.0,,5.0,4.0,3.0,o,o,v,Trying,"Large, well resourced and really trying to be customer focussed","Some managers are very competitive, self-centred and bullying. If they don't' know what they're doing, they cover it up with rage and bluster."
288928,Google,2015-06-02, ,Former Employee,,5,3.0,5.0,,5.0,3.0,5.0,v,v,v,Great Job,"Experience, Opportunities, Location, Coworkers, Resume Builder","Not too many, maybe work life balance"
2266,ASDA,2016-11-03, Delivery Driver,"Current Employee, less than 1 year","Chelmsford, England, England",1,1.0,1.0,,1.0,1.0,1.0,x,x,r,KEEP AWAY!!!!!,"10 percent discount, overtime usually available due to no one wanting to do the job.","Discrimination, poor management, very poor pay. Breach of data protection, don't look out for colleagues. Inexperienced section leaders who are directed by the blind. No opportunity. Don't work here unless your desperate. Lots of illegal happenings."
664700,Primark,2017-11-11, Retail Sales Associate,"Former Employee, more than 1 year","London, England, England",1,1.0,1.0,,3.0,1.0,1.0,x,r,x,An interesting first work experience,Good work experience if it is your first job.,Management can be quite chaotic.
208016,Deloitte,2020-12-07, Consultant,"Current Employee, more than 5 years",Hyderābād,4,1.0,3.0,3.0,4.0,4.0,2.0,x,r,x,Good company for growth opportunities but work life balance is not maintained,Many growth opportunities and good hikes compared to other companies,Work timings are close to 12hrs a day and deadlines for completion is too tight.
331166,Hilton,2018-05-17, Anonymous Employee,Former Employee,,1,1.0,1.0,,1.0,3.0,2.0,x,o,x,Not Impressed,"Free coffee and tea.
Team lunches occasionally","Push work through too fast
Overwork
Unrealistic expectations
Company politics threaten your livelihood
Willing to lose good talent"
23784,Anglian-Water,2021-03-11, Streetworks Administrator,"Former Employee, more than 3 years","Lincoln, England, England",5,5.0,5.0,5.0,4.0,5.0,5.0,v,r,v,Working at AW,"- Look after their staff, - You get rewards for the company beating targets etc, - Diverse place to work",- Not always easy to progress into other roles
23181,Amey,2019-01-21, Customer Service Agent,"Former Employee, more than 10 years","City of Westminster, England, England",1,5.0,2.0,,1.0,3.0,1.0,x,r,r,"once management see that you do not always agree with them, that's it your on the naughty list!",For a CSA the work life balance was ok,"Constant changes which are not always communicated properly by management to the staff doing the work
micro managing"
237819,EY,2014-12-23, Lead Analyst,Former Employee,"Gurgaon, Haryana, Haryana",4,3.0,2.0,,1.0,4.0,1.0,x,r,x,This review is for EY GSS (QRM center) Gurgaon,"They have good infrastructure
good transport facility in NCR
good salary packages","Just keep working, dont try to change anything or challenge your boss
poor appraisal system, no sense of direction
useless HR people, they do what the management tells them to do."
803281,University-of-Michigan,2016-09-30, Graduate Student Researcher,"Current Employee, less than 1 year","Ann Arbor, MI",4,2.0,2.0,,3.0,3.0,2.0,o,o,o,Mixed opinions,"+ Some world class researchers and professors
+ Investments in infrastructure
+ Everything covered health insurance","- Too many students compared to the opportunities / space available
- Lots of inertia to collaborate
- Mixed bag of students: very few brilliant, few good, most just for the ride"
619017,Oracle,2013-09-26, Systems Administrator,"Current Employee, more than 1 year",Bangalore,3,4.0,4.0,,3.0,1.0,3.0,v,v,v,good,cool life. no work force.,no hike or bonus. join and settle if you are married and committed and above 35+ years old. for Young techies and people who looks for a growth not so good.
137239,Citi,2012-09-11, EMEA AP Reporting and Service Delivery Analyst,"Current Employee, more than 3 years",Budapest,4,3.0,3.0,,3.0,3.0,3.0,o,r,r,AP regional support job at SCS,"Flexibility of management, Many online trainings offered, also on-site, Home Office available, Normal compensation, colleagues from all over the world.","Rely on yourself, make your own career and connections - these are the lessons learned. Sometimes monotonous job, but you can make it different and more challenging for yourself."
452393,KPMG,2016-09-16, ,"Former Employee, more than 5 years",,4,3.0,4.0,,5.0,4.0,4.0,v,o,o,Good place to start up,"Nice leader and colleagues, fast growing","Hard working, no good at work life balance"
602589,NHS,2014-06-12, ,Current Employee,,4,4.0,4.0,,2.0,1.0,3.0,x,r,r,Beneficial,Experience and a great insight into working for the NHS,admin and bureaucracy got in the way of helping patients
610782,Network-Rail,2020-09-09, Customer Services Assistant,Current Employee,"London, England, England",4,4.0,4.0,,4.0,4.0,4.0,o,o,o,Nice team,"welcoming and warm team, good team benefits",irregular hours and shift patterns
73759,BT,2014-08-15, Chief Executive Officer We're All Chief Executive Officer Here,"Former Employee, more than 8 years",,2,3.0,2.0,,1.0,1.0,1.0,x,x,r,"Work hard, play hard, get kicked to the curb when it's cost-saving time",Flexible hours and work from home policies. Attractive people with strong personalities who know how to duck and cover will go far. A lot of good people who will want to hire you back when they're desperate.,No training so self-direction is a must. Expect to work global hours without compensation to match so be happy you can work from home.
447634,KPMG,2013-01-31, Director,"Current Employee, more than 5 years","London, England, England",4,4.0,4.0,,3.0,4.0,2.0,v,o,r,Generally a good place to work,"Excellent opportunities, generally good people to work with","Many of the partners still fall into the ""old boys network"" category, need to refresh the partners and their thinking to move with the times"
10149,Accor,2020-12-06, Assistant Front Office Manager,Former Employee,Hyderābād,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Best Employer,Professional staff and excellent leaders well manage team,"moving forward, relocation, new opportunity"
739023,Salesforce,2020-05-12, Account Executive,Current Employee,,5,5.0,5.0,,5.0,5.0,5.0,v,o,v,Love it,Great corporate culture- company clearly cares about employees,big company politics. Deal structuring is overly complex.
666527,Primark,2020-07-13, Retail Sales Assistant,"Former Employee, more than 5 years",,1,1.0,1.0,,2.0,2.0,1.0,x,o,x,Negative Culture,Great hourly wage and great if you love to work in fashion,Negative work culture and feels like being back at school. Management constantly in conflict with each other and staff. Full time sales assistant staff running the place and managers are afraid to delegate work to them.
211638,Deloitte,2021-02-07, Consultant,"Current Employee, more than 1 year",Hyderābād,2,2.0,4.0,3.0,3.0,3.0,1.0,x,r,r,Worst at matching skillset of employees,"1. Learning resources
2. Appraisal process
3. Employee well-being
4. Every employee have a coach to guide in process and give valuable feedback","1. Worst at matching skillset
2. Worst leadership (team lead and manager) I've ever encountered in my 6 years career"
814807,Vodafone,2017-10-19, Ex Level One Manager,"Former Employee, more than 8 years","London, England, England",4,3.0,3.0,,4.0,5.0,3.0,v,r,v,Good place to work,"Great benefits, personal and family and friends scheme.
Excellentvpension benefits","A bit faceless, lots of internal updates, not particularly well aimed at target groups"
364504,IBM,2016-11-03, ,Former Employee,,3,3.0,4.0,,2.0,2.0,4.0,o,v,o,Average,Good Company to work with.,less fous given to interns.
82998,Bain-and-Company,2021-03-20, Anonymous Employee,Former Employee,,5,,5.0,4.0,5.0,5.0,,o,o,o,Review,Nice people and good culture,Time is a bit short
516113,McDonald-s,2016-11-02, ,Former Employee,,4,3.0,3.0,,3.0,3.0,3.0,x,r,r,Good,"clean, fun, entertatining, cool, never boring, cool, cool","hot, fast-paced, irritating, long, dreadful, small, loud, inorganized"
126450,CBRE,2020-03-07, Project Coordinator,Current Employee,"Dublin, Dublin",3,,,,,,,o,o,o,Pros and Cons,Big company with lots of growth,Limited if you are on a remote site
187518,Deloitte,2017-05-24, Anonymous Employee,Former Employee,,3,4.0,3.0,,3.0,2.0,3.0,v,r,v,"Deloitte is a great place to start your career, though it does come with challenges along your journey.","- Great effort to provide work/life balance for employees
- Flexible working
- Provide a solid base to start your career with adequate training and exposures to different clients and industries.","- Can be very political and dependent on the colleagues  you work with as appraisal can be less performance-driven in some cases.
- Retention issues at junior/senior level
-  Can be challenging to move across to different divisions if the division you work at is understaffed."
84996,Barclays,2011-02-15, Finance Analyst,Former Employee,"New York, NY",2,2.0,,,2.0,2.0,2.0,x,r,o,No room for growth,The people were relatively friendly here and the work life balance makes it easy to have a life outside of work.,"There is no room to grow in this position.  The exit opportunities are relatively nonexistent, which does not make this a job for the ambitious."
139418,Citi,2014-09-19, Senior Vice President,"Current Employee, more than 5 years","New York, NY",4,4.0,5.0,,5.0,4.0,5.0,v,v,v,"Excellent opportunities for highly motivated, self directed individual",International opportunities are excellent for those willing to relocate,"large organization, easy to get overwhelmed"
206696,Deloitte,2020-11-02, MBA Student,Former Employee,"Chicago, IL",4,4.0,4.0,4.0,4.0,4.0,,v,o,v,Deloitte Review,"Great salary and compensation 
Nice managers",Many people are chasing the same opportunities for promotion. The company needs to create more opportunities.
171899,Deloitte,2009-08-01, ,Former Employee,"Pittsburgh, PA",4,3.0,,,5.0,5.0,4.0,v,r,o,Endless opportunity and strong emphasis on performance on projects.,"Long term opportunity for growth within the company are communicated clearly.  Deloitte rewards high performers with opportunity and responsibility at every level within the organization.

Management and employees understand the importance of networking and interpersonal relationships as key factor in determining the right team for the project or task at hand.

Employee benefits, compensation are generous for entry level employees relative to equivalent industry positions.","Project and firm culture value soft and technical skill sets differently which gives conflicting expectations as to what is valued in high performers.

Workload can be overwhelming at times if performance is not on par relative to peers

Firm culture rewards risk aversion over risk taking"
306041,Grosvenor-Casinos,2016-11-21, Food and Beverage Host,"Current Employee, more than 1 year","Leicester, England, England",1,1.0,3.0,,1.0,1.0,1.0,x,r,x,Food and beverage host,"Team is allright but due to the unsociable work hours, we become this small wierd lifeless family who just can't keep their hands off of eachothers buisness and want to stick their noses in everyones bedrooms which is understandable knowing that most of these people have no other life than the casino.","Would not recomend to work here. Horrible hours, bad pay. Extremely unprofessional management at work and outside it. You work 10 hour shifts on your feet with horrible customers and you're expected to smile and cater to the addicts and criminals that come in there."
493966,Marriott-International,2016-08-25, Rooms Operations Manager,"Current Employee, more than 3 years",Gold Coast,5,2.0,5.0,,5.0,3.0,4.0,v,v,v,Excellent place to grow,Great culture to work for- Marriott practices what it preaches- Really places emphasis on employee well being and satisfaction.,"Lack of work/life balance.
Not enough competitive pay atleast 10k under competitors."
318529,HSBC-Holdings,2020-05-11, KYC Analyst,"Former Employee, more than 3 years",Bangalore,4,5.0,5.0,,3.0,2.0,3.0,v,r,r,It's a place where you can learn so much.,"The office environment is very nice. 
Friend environment
People
Learnings
Facilities
Perks
None","Tools
Strict transport facility 
None
None 
None"
81364,Bain-and-Company,2018-03-05, Anonymous Employee,Current Employee,,5,4.0,5.0,,5.0,5.0,5.0,v,v,v,"Amazing place, amazing people","Great support
Amazing, impactful work
curious, thoughtful people

It is the best place I've ever worked",Sometimes the hours can be long and deadlines can be a bit challenging. But everyone is in it together.
303954,Grant-Thornton,2019-02-20, Audit Associate,"Current Employee, less than 1 year","Chicago, IL",5,4.0,5.0,,4.0,4.0,4.0,v,v,v,Good,"Culture, decent pay, learning opportunities",Long hour during peak season
679371,PwC,2016-12-15, Senior Associate,"Former Employee, more than 3 years","São Paulo, São Paulo, São Paulo",4,3.0,4.0,,5.0,3.0,3.0,o,r,o,It's best place to start,"The company invests on you, if you take it you are gonna improve as a professional and be prefer for any choose that you make in your professional life",You never know the clients that you are gonna take. It's always a challenge if you don't have a car
127918,CBRE,2021-04-12, Senior Systems Engineering Manager,"Former Employee, more than 5 years","Dallas, TX",3,3.0,2.0,2.0,3.0,3.0,2.0,x,v,r,"CBRE, eh",Some really sharp and motivated people,Good Old Boy network is alive and well...
56905,B-and-Q,2019-11-25, Customer Advisor,"Former Employee, less than 1 year","Falkirk, Scotland, Scotland",3,3.0,3.0,,2.0,3.0,3.0,v,r,r,Tedious but good atmosphere,Good discounts on everything in store except a kitchen fitting -,Rotas were posted for the following 2 weeks but often changed without notice - also was suited to someone looking to build a career in there with no training in any other field
589660,Missguided,2020-11-26, Anonymous Employee,"Former Employee, less than 1 year","Manchester, England, England",1,4.0,2.0,2.0,2.0,4.0,2.0,x,x,x,Awful atmosphere,"discount 
Activities
Nice office
Sample sale
Good HR","Clicky people
Not enough training
Awful parking
Odd location"
630248,Oracle,2017-07-18, Member Of Technical Staff,"Former Employee, more than 1 year",Bangalore,3,5.0,3.0,,3.0,3.0,2.0,x,r,r,Retirement Type Company,Very Good work Life Balance,"No Hike , No Motivation to Work"
366207,IBM,2017-02-06, Seninior Software Engineer,"Current Employee, more than 10 years","Beijing, Beijing, Beijing",5,5.0,5.0,,5.0,4.0,5.0,v,v,v,Deep Ocean with Real Storm,"The biggest Whale or smallest shrimp all in here.
And sea monsters, the difficult problems.
And the real freedom.","It's a huge company with long history, it's hard to figure out the complete picture."
407169,Iron-Mountain-Inc,2014-08-13, Anonymous Employee,Former Employee,,1,1.0,1.0,,1.0,3.0,1.0,x,x,x,Poor Management and continuous layoff have resulted in negative moral.,Made some good career friends.,"Several years when I started it was a great place to work with promise of career growth.  Now it is a dead end, you only get promoted if Mgmt likes you.  The RM area is a joke.  The last 2 year they cannot keep experienced employees - the doors keep revolving in Boston or Collegeville/Royersford and part of it is POOR Mgmt."
380958,IBM,2019-03-14, MVS Seller,Current Employee,Amsterdam,2,4.0,2.0,,4.0,2.0,2.0,x,v,r,No employee investments,A lot of Experience in the company,No education and no Price compensation
345042,IBM,2011-07-19, Buyer,Current Employee,,2,5.0,,,2.0,3.0,3.0,x,v,o,it is okay...just okay,"Flexibility
Lots' of opportunities internally ? so called)
A lot to learn from work","Bureaucracy
All about process, do not try to be creative."
42044,Apple,2019-07-17, Software Engineer,"Former Employee, more than 3 years",,5,3.0,5.0,,5.0,5.0,4.0,v,v,v,Recommend,Great Pay and Great work,Sometimes long work hours but overall not bad
90248,Barclays,2019-03-28, Community Banker ,"Current Employee, more than 1 year","Notting Hill Gate, England, England",3,3.0,3.0,,2.0,3.0,3.0,v,v,r,Good for settling. No progression,Fair pay. Good amount of work to do.,No progression available even after 20 years for some staff.
77343,BT,2020-11-04, Customer Service,"Current Employee, more than 3 years",,3,1.0,1.0,,1.0,5.0,1.0,x,o,x,Ok,"Salary, Working from home, free broadband","Hours, weekends, process, can work til 9"
